run_id,flower_id,sector,drone_id,x,y,bloom_day,pollinated_at,status
RUN_2,F116,CENTER,1,36.34,6.27,2,2026-05-08 01:12:22,POLLINATED
RUN_2,F272,RIGHT,2,59.49,16.71,2,2026-05-08 01:12:25,POLLINATED
RUN_2,F229,RIGHT,2,48.25,4.77,2,2026-05-08 01:12:28,POLLINATED
RUN_2,F123,CENTER,1,22.27,18.59,2,2026-05-08 01:12:31,POLLINATED
RUN_2,F202,RIGHT,2,48.82,11.86,2,2026-05-08 01:12:34,POLLINATED
RUN_2,F211,RIGHT,2,48.78,15.97,2,2026-05-08 01:12:37,POLLINATED
RUN_2,F038,LEFT,0,19.45,10.18,2,2026-05-08 01:12:40,POLLINATED
RUN_2,F022,LEFT,0,12.58,7.43,2,2026-05-08 01:12:43,POLLINATED
RUN_2,F237,RIGHT,2,43.09,1.83,2,2026-05-08 01:12:46,POLLINATED
RUN_2,F095,LEFT,0,12.12,19.26,2,2026-05-08 01:12:49,POLLINATED
RUN_2,F023,LEFT,0,7.53,4.48,2,2026-05-08 01:12:52,POLLINATED
RUN_2,F193,CENTER,1,28.18,5.12,2,2026-05-08 01:12:55,POLLINATED
RUN_2,F174,CENTER,1,26.41,11.5,2,2026-05-08 01:12:58,POLLINATED
RUN_2,F169,CENTER,1,29.44,14.73,2,2026-05-08 01:13:01,POLLINATED
RUN_2,F059,LEFT,0,1.82,14.95,2,2026-05-08 01:13:04,POLLINATED
RUN_2,F142,CENTER,1,34.78,16.46,2,2026-05-08 01:13:07,POLLINATED
RUN_2,F228,RIGHT,2,46.4,0.76,2,2026-05-08 01:13:10,POLLINATED
RUN_2,F056,LEFT,0,6.34,1.6,2,2026-05-08 01:13:13,POLLINATED
RUN_2,F001,LEFT,0,12.65,0.98,2,2026-05-08 01:13:16,POLLINATED
RUN_2,F261,RIGHT,2,47.31,8.68,2,2026-05-08 01:13:19,POLLINATED
RUN_2,F287,RIGHT,2,50.03,5.68,2,2026-05-08 01:13:22,POLLINATED
RUN_2,F244,RIGHT,2,54.99,7.67,2,2026-05-08 01:13:25,POLLINATED
RUN_2,F149,CENTER,1,29.35,1.68,2,2026-05-08 01:13:28,POLLINATED
RUN_2,F296,RIGHT,2,46.73,12.09,2,2026-05-08 01:13:31,POLLINATED
RUN_2,F080,LEFT,0,16.63,3.66,2,2026-05-08 01:13:34,POLLINATED
RUN_2,F104,CENTER,1,28.79,10.38,2,2026-05-08 01:13:37,POLLINATED
RUN_2,F162,CENTER,1,37.73,11.75,2,2026-05-08 01:13:40,POLLINATED
RUN_2,F130,CENTER,1,27.8,8.09,2,2026-05-08 01:13:43,POLLINATED
RUN_2,F058,LEFT,0,2.13,9.73,2,2026-05-08 01:13:46,POLLINATED
RUN_2,F133,CENTER,1,37.32,15.29,2,2026-05-08 01:13:49,POLLINATED
RUN_2,F281,RIGHT,2,54.86,15.08,2,2026-05-08 01:13:52,POLLINATED
RUN_2,F277,RIGHT,2,55.29,19.0,2,2026-05-08 01:13:55,POLLINATED
RUN_2,F285,RIGHT,2,44.32,15.44,2,2026-05-08 01:13:58,POLLINATED
RUN_2,F045,LEFT,0,5.57,12.68,2,2026-05-08 01:14:01,POLLINATED
RUN_2,F077,LEFT,0,8.92,16.87,2,2026-05-08 01:14:04,POLLINATED
RUN_2,F096,LEFT,0,16.02,6.19,2,2026-05-08 01:14:07,POLLINATED
RUN_2,F033,LEFT,0,4.51,18.42,2,2026-05-08 01:14:10,POLLINATED
RUN_2,F093,LEFT,0,13.26,6.2,2,2026-05-08 01:14:13,POLLINATED
RUN_2,F270,RIGHT,2,59.27,6.18,2,2026-05-08 01:14:16,POLLINATED
RUN_2,F102,CENTER,1,22.7,17.59,2,2026-05-08 01:14:19,POLLINATED
RUN_2,F192,CENTER,1,20.83,6.09,2,2026-05-08 01:14:22,POLLINATED
RUN_2,F057,LEFT,0,17.18,18.49,2,2026-05-08 01:14:25,POLLINATED
RUN_2,F112,CENTER,1,31.03,4.14,2,2026-05-08 01:14:28,POLLINATED
RUN_2,F257,RIGHT,2,42.03,6.74,2,2026-05-08 01:14:31,POLLINATED
RUN_2,F183,CENTER,1,29.81,8.74,2,2026-05-08 01:14:34,POLLINATED
RUN_2,F091,LEFT,0,8.47,11.59,2,2026-05-08 01:14:37,POLLINATED
RUN_2,F165,CENTER,1,26.72,9.14,2,2026-05-08 01:14:40,POLLINATED
RUN_2,F166,CENTER,1,26.91,17.21,2,2026-05-08 01:14:43,POLLINATED
RUN_2,F081,LEFT,0,7.7,19.22,2,2026-05-08 01:14:46,POLLINATED
RUN_2,F084,LEFT,0,18.69,19.41,2,2026-05-08 01:14:49,POLLINATED
RUN_2,F073,LEFT,0,19.2,2.37,2,2026-05-08 01:14:52,POLLINATED
RUN_2,F125,CENTER,1,35.82,3.3,2,2026-05-08 01:14:55,POLLINATED
RUN_2,F101,CENTER,1,28.79,19.2,2,2026-05-08 01:14:58,POLLINATED
RUN_2,F276,RIGHT,2,56.27,8.02,2,2026-05-08 01:15:01,POLLINATED
RUN_2,F018,LEFT,0,13.89,1.37,2,2026-05-08 01:15:04,POLLINATED
RUN_2,F233,RIGHT,2,46.05,13.9,2,2026-05-08 01:15:07,POLLINATED
RUN_2,F239,RIGHT,2,46.96,15.47,2,2026-05-08 01:15:10,POLLINATED
RUN_2,F279,RIGHT,2,55.74,4.66,2,2026-05-08 01:15:13,POLLINATED
RUN_2,F168,CENTER,1,28.51,16.36,2,2026-05-08 01:15:16,POLLINATED
RUN_2,F126,CENTER,1,21.38,19.19,2,2026-05-08 01:15:19,POLLINATED
RUN_2,F144,CENTER,1,29.71,5.05,2,2026-05-08 01:15:22,POLLINATED
RUN_2,F190,CENTER,1,31.06,10.32,2,2026-05-08 01:15:25,POLLINATED
RUN_2,F265,RIGHT,2,47.77,13.48,2,2026-05-08 01:15:28,POLLINATED
RUN_2,F032,LEFT,0,6.49,5.59,2,2026-05-08 01:15:31,POLLINATED
RUN_2,F216,RIGHT,2,53.09,8.11,2,2026-05-08 01:15:34,POLLINATED
RUN_2,F040,LEFT,0,2.58,12.42,2,2026-05-08 01:15:37,POLLINATED
RUN_2,F152,CENTER,1,20.87,17.23,2,2026-05-08 01:15:40,POLLINATED
RUN_2,F151,CENTER,1,35.13,18.48,2,2026-05-08 01:15:43,POLLINATED
RUN_2,F230,RIGHT,2,56.49,2.66,2,2026-05-08 01:15:46,POLLINATED
RUN_2,F065,LEFT,0,8.82,10.33,2,2026-05-08 01:15:49,POLLINATED
RUN_2,F122,CENTER,1,33.11,12.27,2,2026-05-08 01:15:52,POLLINATED
RUN_2,F014,LEFT,0,2.26,2.34,2,2026-05-08 01:15:55,POLLINATED
RUN_2,F217,RIGHT,2,54.95,1.2,2,2026-05-08 01:15:58,POLLINATED
RUN_2,F283,RIGHT,2,42.35,12.42,2,2026-05-08 01:16:01,POLLINATED
RUN_2,F231,RIGHT,2,58.49,12.81,2,2026-05-08 01:16:04,POLLINATED
RUN_2,F254,RIGHT,2,43.24,17.05,2,2026-05-08 01:16:07,POLLINATED
RUN_2,F054,LEFT,0,0.87,18.15,2,2026-05-08 01:16:10,POLLINATED
RUN_2,F227,RIGHT,2,55.69,13.99,2,2026-05-08 01:16:13,POLLINATED
RUN_2,F288,RIGHT,2,58.44,18.88,2,2026-05-08 01:16:16,POLLINATED
RUN_2,F204,RIGHT,2,51.97,0.99,2,2026-05-08 01:16:19,POLLINATED
RUN_2,F035,LEFT,0,17.88,9.22,2,2026-05-08 01:16:22,POLLINATED
RUN_2,F087,LEFT,0,10.05,16.7,2,2026-05-08 01:16:25,POLLINATED
RUN_2,F249,RIGHT,2,47.74,19.28,2,2026-05-08 01:16:28,POLLINATED
RUN_2,F008,LEFT,0,12.85,10.85,2,2026-05-08 01:16:31,POLLINATED
RUN_2,F119,CENTER,1,28.89,13.34,2,2026-05-08 01:16:34,POLLINATED
RUN_2,F246,RIGHT,2,59.13,5.04,2,2026-05-08 01:16:37,POLLINATED
RUN_2,F273,RIGHT,2,42.53,7.75,2,2026-05-08 01:16:40,POLLINATED
RUN_2,F131,CENTER,1,23.3,13.56,2,2026-05-08 01:16:43,POLLINATED
RUN_2,F198,CENTER,1,31.84,19.13,2,2026-05-08 01:16:46,POLLINATED
RUN_2,F036,LEFT,0,11.17,5.49,2,2026-05-08 01:16:49,POLLINATED
RUN_2,F284,RIGHT,2,41.13,7.43,2,2026-05-08 01:16:52,POLLINATED
RUN_2,F107,CENTER,1,24.24,8.69,2,2026-05-08 01:16:55,POLLINATED
RUN_2,F187,CENTER,1,33.2,6.89,2,2026-05-08 01:16:58,POLLINATED
RUN_2,F055,LEFT,0,17.2,16.3,2,2026-05-08 01:17:01,POLLINATED
RUN_2,F159,CENTER,1,25.69,9.73,2,2026-05-08 01:17:04,POLLINATED
RUN_3,F295,RIGHT,2,52.27,18.42,3,2026-05-08 01:18:07,POLLINATED
RUN_3,F115,CENTER,1,31.31,8.22,3,2026-05-08 01:18:10,POLLINATED
RUN_3,F255,RIGHT,2,58.93,1.92,3,2026-05-08 01:18:13,POLLINATED
RUN_3,F245,RIGHT,2,58.22,17.02,3,2026-05-08 01:18:16,POLLINATED
RUN_3,F004,LEFT,0,17.45,2.15,3,2026-05-08 01:18:19,POLLINATED
RUN_3,F176,CENTER,1,38.39,4.27,3,2026-05-08 01:18:22,POLLINATED
RUN_3,F110,CENTER,1,30.14,13.17,3,2026-05-08 01:18:25,POLLINATED
RUN_3,F178,CENTER,1,25.11,13.75,3,2026-05-08 01:18:28,POLLINATED
RUN_3,F138,CENTER,1,34.85,8.91,3,2026-05-08 01:18:31,POLLINATED
RUN_3,F223,RIGHT,2,50.35,12.33,3,2026-05-08 01:18:34,POLLINATED
RUN_3,F268,RIGHT,2,45.97,10.89,3,2026-05-08 01:18:37,POLLINATED
RUN_3,F011,LEFT,0,15.81,13.76,3,2026-05-08 01:18:40,POLLINATED
RUN_3,F098,LEFT,0,3.05,2.69,3,2026-05-08 01:18:43,POLLINATED
RUN_3,F179,CENTER,1,35.81,15.63,3,2026-05-08 01:18:46,POLLINATED
RUN_3,F224,RIGHT,2,42.99,5.97,3,2026-05-08 01:18:49,POLLINATED
RUN_3,F203,RIGHT,2,57.4,14.46,3,2026-05-08 01:18:52,POLLINATED
RUN_3,F049,LEFT,0,10.01,3.89,3,2026-05-08 01:18:55,POLLINATED
RUN_3,F167,CENTER,1,25.79,18.57,3,2026-05-08 01:18:58,POLLINATED
RUN_3,F290,RIGHT,2,55.78,9.4,3,2026-05-08 01:19:01,POLLINATED
RUN_3,F041,LEFT,0,15.55,8.52,3,2026-05-08 01:19:04,POLLINATED
RUN_3,F262,RIGHT,2,45.14,8.33,3,2026-05-08 01:19:07,POLLINATED
RUN_3,F300,RIGHT,2,44.96,10.71,3,2026-05-08 01:19:10,POLLINATED
RUN_3,F043,LEFT,0,18.95,16.85,3,2026-05-08 01:19:13,POLLINATED
RUN_3,F170,CENTER,1,38.69,1.26,3,2026-05-08 01:19:16,POLLINATED
RUN_3,F046,LEFT,0,2.62,8.76,3,2026-05-08 01:19:19,POLLINATED
RUN_3,F147,CENTER,1,23.4,4.57,3,2026-05-08 01:19:22,POLLINATED
RUN_3,F024,LEFT,0,5.57,18.3,3,2026-05-08 01:19:25,POLLINATED
RUN_3,F161,CENTER,1,39.13,10.65,3,2026-05-08 01:19:28,POLLINATED
RUN_3,F175,CENTER,1,37.75,7.63,3,2026-05-08 01:19:31,POLLINATED
RUN_3,F241,RIGHT,2,54.29,16.41,3,2026-05-08 01:19:34,POLLINATED
RUN_3,F134,CENTER,1,33.72,9.33,3,2026-05-08 01:19:37,POLLINATED
RUN_3,F085,LEFT,0,3.44,6.14,3,2026-05-08 01:19:40,POLLINATED
RUN_3,F111,CENTER,1,26.7,13.75,3,2026-05-08 01:19:43,POLLINATED
RUN_3,F208,RIGHT,2,55.0,3.83,3,2026-05-08 01:19:46,POLLINATED
RUN_3,F089,LEFT,0,2.02,4.03,3,2026-05-08 01:19:49,POLLINATED
RUN_3,F292,RIGHT,2,45.52,2.85,3,2026-05-08 01:19:52,POLLINATED
RUN_3,F005,LEFT,0,8.52,1.07,3,2026-05-08 01:19:55,POLLINATED
RUN_3,F139,CENTER,1,35.99,17.45,3,2026-05-08 01:19:58,POLLINATED
RUN_3,F100,CENTER,1,27.07,15.44,3,2026-05-08 01:20:01,POLLINATED
RUN_3,F238,RIGHT,2,55.18,16.73,3,2026-05-08 01:20:04,POLLINATED
RUN_3,F108,CENTER,1,38.53,17.99,3,2026-05-08 01:20:07,POLLINATED
RUN_3,F154,CENTER,1,38.41,6.17,3,2026-05-08 01:20:10,POLLINATED
RUN_3,F050,LEFT,0,17.84,17.04,3,2026-05-08 01:20:13,POLLINATED
RUN_3,F088,LEFT,0,3.49,18.75,3,2026-05-08 01:20:16,POLLINATED
RUN_3,F164,CENTER,1,23.95,5.44,3,2026-05-08 01:20:19,POLLINATED
RUN_3,F003,LEFT,0,14.49,13.36,3,2026-05-08 01:20:22,POLLINATED
RUN_3,F010,LEFT,0,15.88,0.62,3,2026-05-08 01:20:25,POLLINATED
RUN_3,F155,CENTER,1,27.91,17.44,3,2026-05-08 01:20:28,POLLINATED
RUN_3,F086,LEFT,0,1.59,11.6,3,2026-05-08 01:20:31,POLLINATED
RUN_3,F015,LEFT,0,16.6,11.97,3,2026-05-08 01:20:34,POLLINATED
RUN_3,F163,CENTER,1,33.1,2.1,3,2026-05-08 01:20:37,POLLINATED
RUN_3,F030,LEFT,0,16.51,15.24,3,2026-05-08 01:20:40,POLLINATED
RUN_3,F212,RIGHT,2,58.91,9.43,3,2026-05-08 01:20:43,POLLINATED
RUN_3,F195,CENTER,1,34.2,6.5,3,2026-05-08 01:20:46,POLLINATED
RUN_3,F259,RIGHT,2,45.96,4.82,3,2026-05-08 01:20:49,POLLINATED
RUN_3,F236,RIGHT,2,51.89,14.68,3,2026-05-08 01:20:52,POLLINATED
RUN_3,F127,CENTER,1,32.11,15.1,3,2026-05-08 01:20:55,POLLINATED
RUN_3,F075,LEFT,0,4.11,9.02,3,2026-05-08 01:20:58,POLLINATED
RUN_3,F234,RIGHT,2,49.47,9.18,3,2026-05-08 01:21:01,POLLINATED
RUN_3,F020,LEFT,0,2.02,4.92,3,2026-05-08 01:21:04,POLLINATED
RUN_3,F007,LEFT,0,1.0,4.28,3,2026-05-08 01:21:07,POLLINATED
RUN_3,F114,CENTER,1,34.71,3.81,3,2026-05-08 01:21:10,POLLINATED
RUN_3,F150,CENTER,1,36.32,7.9,3,2026-05-08 01:21:13,POLLINATED
RUN_3,F225,RIGHT,2,57.24,9.71,3,2026-05-08 01:21:16,POLLINATED
RUN_3,F256,RIGHT,2,55.35,5.54,3,2026-05-08 01:21:19,POLLINATED
RUN_3,F109,CENTER,1,32.34,13.1,3,2026-05-08 01:21:22,POLLINATED
RUN_3,F016,LEFT,0,10.69,18.99,3,2026-05-08 01:21:25,POLLINATED
RUN_3,F047,LEFT,0,9.12,18.62,3,2026-05-08 01:21:28,POLLINATED
RUN_3,F289,RIGHT,2,46.11,17.04,3,2026-05-08 01:21:31,POLLINATED
RUN_3,F071,LEFT,0,15.84,4.12,3,2026-05-08 01:21:34,POLLINATED
RUN_3,F298,RIGHT,2,41.36,1.21,3,2026-05-08 01:21:37,POLLINATED
RUN_3,F242,RIGHT,2,51.52,13.04,3,2026-05-08 01:21:40,POLLINATED
RUN_3,F200,CENTER,1,33.95,2.91,3,2026-05-08 01:21:43,POLLINATED
RUN_3,F117,CENTER,1,24.49,15.43,3,2026-05-08 01:21:46,POLLINATED
RUN_3,F207,RIGHT,2,40.89,15.03,3,2026-05-08 01:21:49,POLLINATED
RUN_3,F044,LEFT,0,0.72,14.19,3,2026-05-08 01:21:52,POLLINATED
RUN_3,F094,LEFT,0,6.51,14.79,3,2026-05-08 01:21:55,POLLINATED
RUN_3,F253,RIGHT,2,57.8,0.79,3,2026-05-08 01:21:58,POLLINATED
RUN_3,F072,LEFT,0,8.55,9.37,3,2026-05-08 01:22:01,POLLINATED
RUN_3,F232,RIGHT,2,43.43,18.22,3,2026-05-08 01:22:04,POLLINATED
RUN_3,F009,LEFT,0,4.69,11.7,3,2026-05-08 01:22:07,POLLINATED
RUN_3,F297,RIGHT,2,52.81,12.57,3,2026-05-08 01:22:10,POLLINATED
RUN_3,F060,LEFT,0,15.05,2.94,3,2026-05-08 01:22:13,POLLINATED
RUN_3,F186,CENTER,1,34.76,11.33,3,2026-05-08 01:22:16,POLLINATED
RUN_3,F105,CENTER,1,35.82,13.55,3,2026-05-08 01:22:19,POLLINATED
RUN_3,F146,CENTER,1,23.37,7.78,3,2026-05-08 01:22:22,POLLINATED
RUN_3,F282,RIGHT,2,53.44,3.1,3,2026-05-08 01:22:25,POLLINATED
RUN_3,F039,LEFT,0,2.23,1.4,3,2026-05-08 01:22:28,POLLINATED
RUN_3,F121,CENTER,1,33.02,5.89,3,2026-05-08 01:22:31,POLLINATED
RUN_3,F219,RIGHT,2,42.7,15.18,3,2026-05-08 01:22:34,POLLINATED
